"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2018-11-12",59.34,59.42,58.47,58.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-13",59.32,59.83,59.03,59.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-14",59.46,59.57,58.65,59.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-11-15",59.75,60.91,59.59,60.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9
"2018-11-16",60.09,61.04,59.98,60.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9
"2018-11-19",60.42,60.46,59.84,59.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9
"2018-11-20",59.09,59.33,58.61,58.9,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9
"2018-11-21",59.5,59.84,59.5,59.68,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9
"2018-11-23",58.76,58.89,58.6,58.62,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9
"2018-11-26",60.04,60.3,59.99,60.22,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,60.9
"2018-11-27",60.18,60.56,60.04,60.55,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,60.9
"2018-11-28",60.69,61.89,60.43,61.84,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,60.9
"2018-11-29",61.23,61.6,60.87,61.24,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,60.9
